post_date,post_title,final_content,source_file
2005-11-03 21:14:00,Moving on,"<p>Gave in (to&#8230; myself?), bought a domain, and installed Textpattern. [ laughs ] This must be&#8230; what, the fourth site that I&#8217;ve had? But I can probably stick with this one for a while. Hopefully, anyway.</p>

<p>Anyhoo, enjoy the site. There isn&#8217;t a whole lot here, as the site&#8217;s only been in existence for about two hours (-ish), but give me time and things&#8217;ll start showing up.</p>

<p>Also semi-related to moving on: the first term of the year is <em>over</em>. This is a very good thing. :) ... Yeah. It&#8217;s just <em>really</em> good to be done with this last set of classes. Advanced Modern Lit was interesting (a bit painful, actually, but interesting), and Physics was&#8230; alright, whatever, so the term wasn&#8217;t actually that bad. But I am glad that it&#8217;s over with. Next term brings a study hall that I plan to fill with courses taken online through NTC for college &#38; hs credit, which should be cool. $99/credit, which isn&#8217;t bad at all when one considers that there&#8217;s no other tuition fees. [ shrugs ]</p>

<p>In any case, it&#8217;s nice to move on. Got a fresh start here on a website, starting a fresh term on Monday. Take a deep breath. Now go.</p>


",exigraff wp_posts.csv
2005-11-03 22:05:00,Hazards of Ink Refill Kits,"<p>For those with inkjet printers: stay far far away from any refill gets. Get the new cartridge; opportunity cost outweighs the benefit (I salute thee, Mr. Nelson).</p>


",exigraff wp_posts.csv
2005-11-04 03:37:00,[ yawn ],"<p>3:45 and off to Northwestern College in Minneapolis. Or Roseville, or something like that.We have today off from school (end of term and all), so I (well, my parents and <em>then</em> I) figured that I might as well spend it doing something productive, like traveling to Minnesota to visit a college or something. &#8220;Or something&#8221; being Nathan M, so it&#8217;s more like &#8220;to visit a college and something&#8221;. Yeah.</p>

<p>So just before I fell asleep last night (and, by the way, one wakes up a lot more easily to an alarm clock if there&#8217;s already classical music playing), I remembered something that I should bring, so I stick a post-it note (generic brand; they&#8217;re cheaper and just as good, and yes, I keep post-it notes at my bed-side) on the back of my alarm clock and turned it (the clock) around backwards so I&#8217;d <em>remember</em> whatever it was I was supposed to. So now, it&#8217;s 3:30 and I&#8217;m remembering that there&#8217;s&#8230; something that I&#8217;ve forgotten, dang it.</p>


",exigraff wp_posts.csv
2005-11-04 13:17:55,At Northwestern,"<p>It&#8217;s&#8230; noonish, and it seems that the time thinger on this site is one hour off. [ adds to to-do list ]</p>

<p>I&#8217;m in Nathan&#8217;s dorm at NWC, working&#8230; on my blog? Nathan doesn&#8217;t have Intro to Music today (but he informs me that he has a test on Monday and that I should help him study).</p>

<p>Mom &#38; I got here around 9:00 this morning (our discussion whilst we traveled was more or less coherent, considering the ungodly hour). Went to Music Theory, which was interesting and informative. Definitely something that I need to get into a <em>lot</em> more (should have done it years ago). Chapel (in Maranatha Hall, not the actual chapel) followed, which was kinda cool. This trio of rappers rapped several times over with stuff that I <em>think</em> was original, actually. The guy in the middle mostly just stood there and nodded his head, and when he did sing (talk? verbalize?), his face turned red. But don&#8217;t get me wrong, they weren&#8217;t bad. I just don&#8217;t really like rap.</p>

<p>Nathan then gave me a general tour of the campus, which is growing on me. I was a bit turned off by the oldness of a few of the buildings (and, in my opinion, concrete block should be covered by something more than white paint when considering classroom walls), but it&#8217;s cool.</p>

<p>So&#8230; we don&#8217;t really have anything to do until 12:35, which is lunch (which we will be meeting Alison M. for), and then until 2:00. We&#8217;ll figure out something, likely.</p>

<p>And this touchpad is really beginning to get on my nerves. I&#8217;m using Nathan&#8217;s laptop, and I keep hitting the pad while I type. Gah.</p>


",exigraff wp_posts.csv
2005-11-04 20:33:00,The Car from Hell,"<p>So Nathan invites Ben M over for&#8230; something or other, swimming I think. We ran over to the Ericson Center (Nathan refused to tell me why) by way of Purgatory and then proceeded into the Hell adjascent to the Center.</p>

<p>Just so your perception of me isn&#8217;t entirely shattered, Hell &#38; Purgatory are both parking areas. Nobody really knows why.</p>

<p>But anyway, we get to <del>Hell</del> the parking lot and look for a tan car with two doors. Nathan, again, wouldn&#8217;t tell me why. We found the car, and then searched it for keys. I kept expecting some security guy to come up to us and politely ask what we were doing, but such fears were unfounded.</p>

<p>We found the keys and went into the Ericson Center to look for a phone (there are phones <em>all</em> over the campus. like everywhere.) by means of which to call Ben M, who, apparently, Nathan had invited over for the evening. <em>Now</em> that I know what&#8217;s going on, Nathan asks me if I can drive stick (that tan car is a manual) in order to go pick up Ben at wherever he was (somewhere in central Saint Paul). Ha. I&#8217;ve driven a stick shift&#8230; twice, I think?</p>

<p>So we go back to the car to practice (Nathan wanted me to teach him), but none of the keys worked. The car didn&#8217;t yield any other sets of keys (but did contain some old Chinese food, a rotten apple and a container of some unknown substance under the seat), and Ben had no idea where any other keys might be (his brother&#8217;s card, evidently). So, Ben goes, &#8220;Well, my <em>room-mate</em> can probably give me a ride.&#8221;</p>

<p>Problem solved. And now I find out that the food court closes the grill at 7. Gah.</p>

<p><strong>Update:</strong> Ben just walked in. <em>Guess</em> who had the real keys.</p>


",exigraff wp_posts.csv
2005-11-04 23:10:00,Oh look.,"<p>It&#8217;s past one in the morning. That was weird. I&#8217;m talking to a friend over the internet, and I look at the clock, and it&#8217;s past one. Huh. Though I&#8217;m told that that&#8217;s &#8220;still very early on college time.&#8221; </p>


",exigraff wp_posts.csv
2005-11-05 21:42:27,Back home,"<p>Woke up to the initial alarm this morning at 8:30, and went back to sleep. <em>Got</em> up to my mom&#8217;s phone message left at 9:30, saying that she&#8217;d be over in 20 minutes to pick me up, which I found mildly odd, since she had said earlier that she&#8217;d pick me up <em>at</em> 9:30. I probably would have found it more so had I gotten more sleep, but it doesn&#8217;t really matter.</p>

<p>Neither of the dorm-folk were really awake when I left, but Nathan was sufficiently conscious to groggily shake my hand prior to my departure. Love that guy.</p>

<p>So&#8230; Mom and I went shopping at a nearby mall which wasn&#8217;t enormous, but it was of fair size. Nice and clean. Had breakfast, which consisted of an Italian sub (they didn&#8217;t have the spice &#38; herb bread, but wheat worked) and a cold caramel something-or-other from Caribou. Good pick-me-up.</p>

<p>Browsed through a few stores, including the Apple store (you know that you&#8217;re going to be enormously successful for at least the next decade if you only have to place your logo on the storefront and people pack the location at 10:00 am) and a air-toy store (kites, little fun flying things, potato guns, etc).</p>

<p>Looked through Lands&#8217; End for an hour or so where I found two shirts that fit me perfectly. You have <em>no</em> idea how happy that made me.</p>

<p>I think we had lunch at Wendy&#8217;s before we made the trek home. I slept for a while in the car, which is rare and indicative how tired I was. [ grins ] Which is strange, because I did get in a good seven hours of sleep&#8230; ah well.</p>


",exigraff wp_posts.csv
2005-11-06 17:09:53,OfficeMax,"<p>It started with something simple &#8211; how hard could it be to print a set of business cards? But no, we <em>first</em> had to copy the images onto the hard drive, then open them up in Publisher (wait&#8230; how?), get the thing to print 10 per sheet (&#8216;cuz we&#8217;re going to cut them apart afterwards and hope that the cuts are straight), fiddle with the printer, watch it destroy 4 sheets of the $.40 glossy paper, print a regular sheet, copy <em>that</em> sheet onto the $.40 glossy paper with the color copier, notice that the copier skewed the color, and then finally realize that the image was too pixely when printed to be any good anyway.</p>

<p>So. Guess who got no results at his local OfficeMax? Me! Yay! And <em>guess</em> who was <em>particularily</em> impressed by the incompetence of the employees?</p>

<p>Gah.</p>


",exigraff wp_posts.csv
2005-11-06 20:33:00,Love &#38; Hate in a Box,"<p>Or in a book. Or something.</p>

<p>Just finished my music theory assignment for the week&#8230; yech. I mean, it&#8217;s great stuff (I&#8217;m finally learning what the heck I&#8217;ve been doing for the last few years of improv work), but it&#8217;s <em>really</em> not-easy. I&#8217;ve learned to feel the chords and their progressions, and figuring out the mathematical connections is a bit challenging. viÂ°7(6/4) and all that.</p>


",exigraff wp_posts.csv
2005-11-07 08:24:36,Monday Morning,"<p>Hannah woke me up at around :) this morning with the reminder that &#8220;I have drivers&#8217; ed this morning!&#8221; Gah. So, me being the absent-minded individual that I am, thinking that the class was at 6:30, freaked out and was ready to go at 6:25. We&#8217;re on the way to the school and Hannah says, &#8220;You <em>do</em> know that it&#8217;s at 6:45, don&#8217;t you?&#8221;</p>

<p>Eeeee&#8230;.. [ yawn ] And then the library didn&#8217;t open until quarter-after.</p>


",exigraff wp_posts.csv
